,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
1034,1034,"Sunlight, water, CO2 (carbon dioxide), glucose, etc. are needed.",1034.0,"1069,0,1,0,0,0,0,0,,,,,,,"
1035,1035,They photosynthesize,1035.0,"1070,1,1,1,0,0,0,0,,,,,,,"
1036,1036,Photosynthesis,1036.0,"1071,1,1,0,0,0,0,0,,,,,,,"
1037,1037,I need glucose.,1037.0,"1072,0,0,0,0,1,0,0,,,,,,,"
1038,1038,Photosynthetic light is required,1038.0,"1073,0,0,0,0,1,0,0,,,,,,,"
1039,1039,Carbon dioxide is needed.,1039.0,"1074,1,1,0,1,1,0,0,,,,,,,"
1040,1040,Photosynthesis,1040.0,"1075,0,0,0,0,1,0,0,,,,,,,"
1041,1041,Photosynthesis,1041.0,"1076,1,0,1,0,0,0,0,,,,,,,"
1042,1042,Light,1042.0,"1077,1,0,0,0,0,0,0,,,,,,,"
1043,1043,Water and carbon dioxide,1043.0,"1078,1,0,1,0,0,0,1,,,,,,,1079,1,1,1,0,0,0,1,,,,,,,"
1044,1044,It's light and oxygen.,1044.0,"1080,0,0,0,0,1,0,0,,,,,,,"
1045,1045,"soil nutrients, sunlight, and water",1045.0,"1081,0,0,0,0,0,0,0,,,,,,,"
1046,1046,"Water, sunlight, carbon dioxide.",1046.0,"1082,0,0,0,0,1,0,0,,,,,,,"
1047,1047,Water and carbon dioxide,1047.0,"1083,1,0,0,0,0,0,0,,,,,,,"
1048,1048,Photosynthesis,1048.0,"1084,1,1,0,0,0,1,0,,,,,,,"
1049,1049,"Oxygen, water, light",1049.0,"1085,0,0,0,0,1,0,0,,,,,,,"
1050,1050,oxygen and water light,1050.0,"1086,0,0,0,0,0,0,0,,,,,,,"
1051,1051,music,1051.0,"1087,1,0,0,0,0,0,0,,,,,,,"
1052,1052,We need carbon dioxide and water.,1052.0,"1088,1,0,0,0,0,0,0,,,,,,,"
1053,1053,We need sunlight and water because we need photosynthesis,1053.0,"1089,1,0,0,0,0,0,0,,,,,,,"
1054,1054,I think we need carbon dioxide and sunlight.,1054.0,"1090,1,1,1,0,0,0,0,,,,,,,"
1055,1055,.,1055.0,"1091,0,0,0,0,1,0,0,,,,,,,"
1056,1056,Photosynthesis,1056.0,"1092,1,0,0,0,0,0,0,,,,,,,"
1057,1057,I don't know,1057.0,"1093,1,1,1,0,0,0,0,,,,,,,"
1058,1058,I don't know,1058.0,"1094,1,1,1,0,0,0,0,,,,,,,"
1059,1059,need water and nutrients,1059.0,"1095,1,1,0,0,0,0,0,,,,,,,"
1060,1060,Optical ---sum ---- last name,1060.0,"1096,0,1,0,0,0,0,0,,,,,,,"
1061,1061,I don't know.,1061.0,"1097,1,1,0,0,0,0,0,,,,,,,"
1062,1062,I don't know,1062.0,"1098,1,0,0,0,0,0,0,,,,,,,"
1063,1063,I don't know,1063.0,"1099,1,1,1,0,0,0,0,,,,,,,"
1064,1064,Sunlight,1064.0,"1100,1,1,0,0,0,0,0,,,,,,,"
1065,1065,Water Carbon Dioxide Light,1065.0,"1101,1,1,1,0,0,0,0,,,,,,,"
1066,1066,Carbon dioxide water nutrients,1066.0,"1102,1,1,1,0,0,0,0,,,,,,,"
1067,1067,Light,1067.0,"1103,1,1,1,0,0,0,0,,,,,,,"
1068,1068,carbon dioxide glucose,1068.0,"1104,1,1,0,0,0,0,0,,,,,,,"
1069,1069,Sunlight,1069.0,"1105,1,1,1,0,0,0,0,,,,,,,"
1070,1070,Don't know,1070.0,"1106,1,1,1,0,0,0,0,,,,,,,"
1071,1071,I don't know,1071.0,"1107,1,1,1,0,0,0,0,,,,,,,"
1072,1072,Light energy and carbon dioxide,1072.0,"1108,1,1,1,0,0,0,0,,,,,,,1109,1,1,1,0,0,0,0,,,,,,,"
1073,1073,Sunlight,1073.0,"1110,1,1,1,0,0,0,0,,,,,,,"
1074,1074,Carbon dioxide and light energy,1074.0,"1111,1,1,1,0,0,0,0,,,,,,,"
1075,1075,"Carbon dioxide, water,",1075.0,"1112,1,1,1,0,0,0,0,,,,,,,"
1076,1076,Sunlight,1076.0,"1113,1,1,1,0,0,0,0,,,,,,,"
1077,1077,"Isinhwa, light, water, carbon is needed.",1077.0,"1114,1,1,1,0,0,0,0,,,,,,,"
1078,1078,Light and carbon dioxide and energy is needed.,1078.0,"1115,1,1,1,0,0,0,0,,,,,,,"
1079,1079,"Light, water, carbon dioxide.",1079.0,"1116,1,1,1,0,0,0,0,,,,,,,"
1080,1080,"Water, sunlight, carbon dioxide",1080.0,"1117,1,1,0,1,0,0,0,,,,,,,"
1081,1081,"Solar energy water, carbon dioxide, and that needs nourishment.",1081.0,"1118,1,1,1,0,0,0,0,,,,,,,"
1082,1082,Unknowingness,1082.0,"1119,0,1,1,0,0,0,0,,,,,,,"
1083,1083,ㅇ,1083.0,"1120,0,0,0,0,1,0,0,,,,,,,"
1084,1084,ㅇ,1084.0,"1121,1,1,0,0,0,0,0,,,,,,,"
1085,1085,"Water, sunlight,.",1085.0,"1122,0,0,0,0,1,0,0,,,,,,,"
1086,1086,water and sunlight,1086.0,"1123,1,1,0,0,0,0,1,,,,,,,"
1087,1087,Photosynthesis,1087.0,"1124,0,1,1,0,0,0,0,,,,,,,"
1088,1088,Sunlight,1088.0,"1125,1,0,1,0,0,0,0,,,,,,,"
1089,1089,chloroplast,1089.0,"1126,1,1,1,0,0,0,0,,,,,,,"
1090,1090,Photosynthesis,1090.0,"1127,1,0,0,0,0,0,0,,,,,,,"
1091,1091,Photosynthesis,1091.0,"1128,0,0,0,0,1,0,0,,,,,,,"
1092,1092,sunlight and water,1092.0,"1129,1,1,0,0,0,0,0,,,,,,,"
1093,1093,Photosynthesis through light energy,1093.0,"1130,1,1,1,0,0,0,0,,,,,,,"
1094,1094,Sunlight,1094.0,"1131,0,0,0,0,1,0,0,,,,,,,"
1095,1095,"Sunlight, water.",1095.0,"1132,0,0,0,0,1,0,0,,,,,,,"
1096,1096,"Glucose, carbon dioxide, sunlight, water, etc",1096.0,"1133,1,1,1,0,0,0,0,,,,,,,"
1097,1097,"We need light, water, and chloroplasts",1097.0,"1134,1,1,1,0,1,0,0,,,,,,,"
1098,1098,I don't know.,1098.0,"1135,1,0,1,0,0,0,0,,,,,,,"
1099,1099,I don't know.,1099.0,"1136,0,0,0,0,1,0,0,,,,,,,"
1100,1100,Glucose,1100.0,"1137,0,1,0,0,0,0,0,,,,,,,"
1101,1101,Sunlight water love,1101.0,"1138,1,0,0,0,0,0,0,,,,,,,1139,0,0,0,0,0,0,0,,,,,,,"
1102,1102,Photosynthesis,1102.0,"1140,0,0,0,0,0,0,0,,,,,,,"
1103,1103,I don't know.,1103.0,"1141,1,0,0,0,0,0,0,,,,,,,"
1104,1104,sunlight and water,1104.0,"1142,0,0,0,0,0,0,0,,,,,,,"
1105,1105,Photosynthesis and Carbon Dioxide,1105.0,"1143,1,1,0,0,0,0,0,,,,,,,"
1106,1106,water.sunlight,1106.0,"1144,1,0,1,0,0,0,0,,,,,,,"
1107,1107,"Sunlight, water needed",1107.0,"1145,0,0,0,0,0,0,0,,,,,,,"
1108,1108,It produces glucose through photosynthesis.,1108.0,"1146,0,1,0,0,0,0,0,,,,,,,"
1109,1109,Oxygen? Water?,1109.0,"1147,0,0,0,0,0,0,0,,,,,,,"
1110,1110,"Sunlight, water, carbon dioxide",1110.0,"1148,1,1,0,0,0,0,0,,,,,,,"
1111,1111,Light Energy Water,1111.0,"1149,0,0,0,0,0,0,0,,,,,,,"
1112,1112,Photosynthesis,1112.0,"1150,1,1,1,0,0,0,0,,,,,,,"
1113,1113,Photosynthesis,1113.0,"1151,1,0,0,0,0,0,0,,,,,,,"
1114,1114,"Water, soil, photosynthesis",1114.0,"1152,0,0,0,0,0,0,0,,,,,,,"
1115,1115,Glucose is formed through photosynthesis,1115.0,"1153,1,0,0,0,1,0,0,,,,,,,"
1116,1116,Light and carbon dioxide are needed.,1116.0,"1154,1,1,1,0,0,0,0,,,,,,,"
1117,1117,light energy,1117.0,"1155,1,1,1,0,0,0,0,,,,,,,"
1118,1118,"Plants use light energy and carbon dioxide from chloroplasts in cells to produce glucose and oxygen, which are organic substances.",1118.0,"1156,1,1,0,0,0,0,0,,,,,,,"
1119,1119,"Plants use light energy from chloroplasts in cells to chemically convert carbon dioxide into organic glucose.Therefore, water, light energy, and carbon dioxide, which are the mediums for transmitting substances in plants, are needed.",1119.0,"1157,1,0,1,0,1,0,1,,,,,,,"
1120,1120,Photosynthesis,1120.0,"1158,1,1,0,1,1,0,0,,,,,,,"
1121,1121,I don't know.,1121.0,"1159,1,1,0,0,0,0,1,,,,,,,"
1122,1122,Photosynthesis,1122.0,"1160,1,1,0,0,0,0,0,,,,,,,"
1123,1123,need sunlight,1123.0,"1161,1,1,0,0,0,0,0,,,,,,,"
1124,1124,"Sunlight, water, nutrients",1124.0,"1162,0,0,0,0,1,0,0,,,,,,,"
1125,1125,need photosynthesis,1125.0,"1163,0,0,0,0,0,0,0,,,,,,,"
1126,1126,Plants,1126.0,"1164,0,0,0,0,1,0,0,,,,,,,"
1127,1127,need sunlight,1127.0,"1165,1,1,1,0,0,0,0,,,,,,,"
1128,1128,need sunlight,1128.0,"1166,1,1,1,0,0,0,0,,,,,,,"
1129,1129,Sunlight,1129.0,"1167,1,1,1,0,0,0,0,,,,,,,"
1130,1130,"Sunlight, water, carbon dioxide",1130.0,"1168,1,1,1,0,0,0,0,,,,,,,1169,1,1,1,0,1,0,0,,,,,,,"
1131,1131,Photosynthesis is required.,1131.0,"1170,1,1,0,1,0,0,0,,,,,,,"
1132,1132,Sunlight,1132.0,"1171,1,1,0,0,0,0,0,,,,,,,"
1133,1133,"Carbon dioxide, sunlight and water",1133.0,"1172,1,1,0,0,1,0,0,,,,,,,"
1134,1134,Water and carbon dioxide sunlight are needed.,1134.0,"1173,1,0,0,0,0,0,0,,,,,,,"
1135,1135,light water,1135.0,"1174,1,1,1,0,0,0,0,,,,,,,"
1136,1136,Water,1136.0,"1175,0,0,0,0,0,0,0,,,,,,,"
1137,1137,We need sunlight and water.,1137.0,"1176,0,0,0,0,0,1,0,,,,,,,"
1138,1138,need sunlight,1138.0,"1177,0,0,0,0,1,0,0,,,,,,,"
1139,1139,"Light, carbon dioxide, water",1139.0,"1178,1,0,0,0,0,0,0,,,,,,,"
1140,1140,"We need sunlight, oxygen, and water.",1140.0,"1179,0,0,0,0,1,0,0,,,,,,,"
1141,1141,"Light, carbon dioxide, water",1141.0,"1180,1,1,1,0,0,0,0,,,,,,,"
1142,1142,"Carbon dioxide, light, water",1142.0,"1181,1,1,1,0,0,0,0,,,,,,,"
1143,1143,"Water, carbon dioxide, sunlight",1143.0,"1182,1,1,1,0,1,0,0,,,,,,,"
1144,1144,"Water, light, oxygen, etc",1144.0,"1183,1,1,1,0,0,0,0,,,,,,,"
1145,1145,"Carbon dioxide, water, and light",1145.0,"1184,0,0,0,0,0,0,0,,,,,,,"
1146,1146,"We need light, carbon dioxide, water",1146.0,"1185,1,1,1,0,0,0,0,,,,,,,"
1147,1147,"We need light, carbon dioxide, and water.",1147.0,"1186,1,0,0,0,0,0,0,,,,,,,"
1148,1148,"Light, water, carbon dioxide.",1148.0,"1187,0,1,0,0,0,0,0,,,,,,,"
1149,1149,"Carbon dioxide, sunlight, water",1149.0,"1188,0,1,1,0,0,0,0,,,,,,,"
1150,1150,"Sunlight, water, carbon dioxide",1150.0,"1189,0,0,0,0,0,0,0,,,,,,,"
1151,1151,"Carbon dioxide, sunlight, water",1151.0,"1190,1,1,1,0,0,0,0,,,,,,,"
1152,1152,Carbon dioxide and water use sunlight to make glucose.,1152.0,"1191,1,1,1,0,0,0,0,,,,,,,"
1153,1153,"Water, carbon dioxide, and light energy are needed.",1153.0,"1192,0,1,1,0,0,0,0,,,,,,,"
1154,1154,"Light, carbon dioxide, water",1154.0,"1193,1,1,1,0,0,0,0,,,,,,,"
1155,1155,"Water, carbon dioxide, light",1155.0,"1194,1,1,1,0,0,0,0,,,,,,,"
1156,1156,"There are biological factors such as sunlight, water, and air.",1156.0,"1195,1,1,1,0,0,0,0,,,,,,,"
1157,1157,"Sunlight, water, soil",1157.0,"1196,0,0,0,0,1,0,0,,,,,,,"
1158,1158,"Carbon dioxide, solar radiation energy, water",1158.0,"1197,1,1,1,0,1,0,0,,,,,,,"
1159,1159,water carbon dioxide,1159.0,"1198,1,1,1,0,0,0,0,,,,,,,1199,1,1,1,0,0,0,0,,,,,,,"
1160,1160,require photosynthesis,1160.0,"1200,1,1,1,0,0,0,0,,,,,,,"
1161,1161,We need sunlight. Water is also needed.,1161.0,"1201,0,0,0,0,0,0,0,,,,,,,"
1162,1162,Photosynthesis,1162.0,"1202,1,0,0,0,1,0,1,,,,,,,"
1163,1163,"water, sunlight, chloroplasts",1163.0,"1203,1,1,1,0,1,0,0,,,,,,,"
1164,1164,Water and carbon dioxide,1164.0,"1204,1,1,0,1,0,0,0,,,,,,,"
1165,1165,"Sunlight, carbon dioxide...?seem to need",1165.0,"1205,1,0,1,0,0,0,1,,,,,,,"
1166,1166,Use sunlight with water and carbon dioxide,1166.0,"1206,1,1,1,0,0,0,0,,,,,,,"
1167,1167,need sunlight,1167.0,"1207,1,0,0,0,0,0,0,,,,,,,"
1168,1168,Photosynthesis,1168.0,"1208,1,0,0,0,0,0,0,,,,,,,"
1169,1169,Sunlight water,1169.0,"1209,1,1,1,0,1,0,0,,,,,,,"
1170,1170,"We need sunlight, water and carbon dioxide.",1170.0,"1210,0,0,0,0,0,0,0,,,,,,,"
1171,1171,be photosynthetic,1171.0,"1211,0,0,0,0,1,0,0,,,,,,,"
1172,1172,You need to photosynt,1172.0,"1212,1,1,1,0,0,0,0,,,,,,,"
1173,1173,"We need light, water, and carbon dioxide.",1173.0,"1213,1,1,1,0,0,0,0,,,,,,,"
1174,1174,"Water, sunlight, and three carbons need to be photosynthesized",1174.0,"1214,0,0,0,0,1,0,0,,,,,,,"
1175,1175,need carbon dioxide and sunlight,1175.0,"1215,0,0,0,0,0,0,0,,,,,,,"
1176,1176,Photosynthesis,1176.0,"1216,0,0,0,0,0,0,0,,,,,,,"
1177,1177,Water,1177.0,"1217,1,1,0,0,0,0,0,,,,,,,"
1178,1178,Sunlight,1178.0,"1218,0,0,0,0,0,0,0,,,,,,,"
1179,1179,Unknowingness,1179.0,"1219,0,0,0,0,1,0,0,,,,,,,"
1180,1180,I don't know.,1180.0,"1220,0,0,0,0,0,0,0,,,,,,,"
1181,1181,Solar energy,1181.0,"1221,1,0,0,0,0,0,0,,,,,,,"
1182,1182,I don't know,1182.0,"1222,1,0,0,0,1,0,0,,,,,,,"
1183,1183,need water and sunlight,1183.0,"1223,0,0,0,0,0,1,0,,,,,,,"
1184,1184,"Carbon dioxide, oxygen, sunlighthhh::",1184.0,"1224,0,0,0,0,0,0,0,,,,,,,"
1185,1185,Water,1185.0,"1225,0,0,0,0,0,0,0,,,,,,,"
1186,1186,an acidic substance,1186.0,"1226,1,0,0,0,0,0,0,,,,,,,"
1187,1187,"Water, sunlight?",1187.0,"1227,1,0,0,0,0,0,0,,,,,,,"
1188,1188,I don't know,1188.0,"1228,1,0,0,0,0,0,0,,,,,,,1229,0,0,0,0,1,0,0,,,,,,,"
1189,1189,"Sunlight, water, air",1189.0,"1230,0,0,0,0,0,0,0,,,,,,,"
1190,1190,need sunlight,1190.0,"1231,1,1,1,0,0,0,0,,,,,,,"
1191,1191,I don't know.,1191.0,"1232,1,1,0,0,0,0,0,,,,,,,"
1192,1192,We need sunlight for photosynthesis,1192.0,"1233,0,1,1,0,0,0,0,,,,,,,"
1193,1193,"Water, sunlight, carbon dioxide",1193.0,"1234,1,1,1,0,0,0,0,,,,,,,"
1194,1194,"Water, sunlight, carbon dioxide",1194.0,"1235,0,0,0,0,0,0,0,,,,,,,"
1195,1195,Light and water,1195.0,"1236,1,0,0,0,0,0,0,,,,,,,"
1196,1196,"Sunlight, carbon dioxide, chloroplasts for photosynthesis",1196.0,"1237,1,0,0,0,0,0,0,,,,,,,"
1197,1197,"Photosynthesis requires sunlight and water, which is essential for plants to grow",1197.0,"1238,0,1,0,0,1,0,0,,,,,,,"
1198,1198,"Sunlight, water, chlorophyll",1198.0,"1239,1,1,1,0,1,0,1,,,,,,,"
1199,1199,the roots of the water's sunlight,1199.0,"1240,1,1,0,0,0,0,0,,,,,,,"
1200,1200,"Water, sunlight, and plant grit",1200.0,"1241,1,1,0,0,0,0,0,,,,,,,"
1201,1201,"""You're over-synthesizing",1201.0,"1242,0,0,0,0,0,0,0,,,,,,,"
1202,1202,"""",1202.0,"1243,0,0,0,0,0,0,0,,,,,,,"
1203,1203,Toothpick,1203.0,"1244,0,0,0,0,1,0,0,,,,,,,"
1204,1204,Photosynthesis,1204.0,"1245,1,1,0,0,0,0,0,,,,,,,"
1205,1205,"We need sunlight, water, and air.",1205.0,"1246,1,1,0,0,0,0,0,,,,,,,"
1206,1206,"Sunlight, water, air",1206.0,"1247,1,1,0,0,0,0,0,,,,,,,"
1207,1207,"Sunlight, water, air",1207.0,"1248,0,0,0,0,1,0,0,,,,,,,"
1208,1208,"Sunlight, water, air",1208.0,"1249,1,1,0,0,0,0,0,,,,,,,"
1209,1209,"You need to photosynthesize, but if you want to photosynthesize, you need sun, water, air, etc",1209.0,"1250,1,0,1,0,0,0,0,,,,,,,"
1210,1210,"There must be soil, sunlight, and water",1210.0,"1251,1,0,0,1,1,1,0,,,,,,,"
1211,1211,We need water.,1211.0,"1252,0,1,1,0,0,0,0,,,,,,,"
1212,1212,"We need sunlight.""",1212.0,"1253,1,0,1,0,1,0,1,,,,,,,"
1213,1213,"""First of all, to photosynthesize, you need sunlight and leaves to receive sunlight",1213.0,"1254,0,0,0,0,0,0,0,,,,,,,"
1214,1214,"I need water to make nutrients Conclusion: Water, Sunlight, Leaf""",1214.0,"1255,0,1,0,0,0,0,0,,,,,,,"
1215,1215,Light,1215.0,"1256,1,1,0,0,0,0,0,,,,,,,"
1216,1216,"Sunlight, water, air",1216.0,"1257,0,0,0,0,1,0,0,,,,,,,"
1217,1217,Toothpick,1217.0,"1258,1,1,0,0,0,0,0,,,,,,,1259,1,0,0,0,0,0,0,,,,,,,"
1218,1218,It needs nutrients.,1218.0,"1260,0,1,0,0,1,0,0,,,,,,,"
1219,1219,Photosynthesis,1219.0,"1261,1,1,0,0,0,0,0,,,,,,,"
1220,1220,Glucose and Light Energy,1220.0,"1262,0,0,0,0,0,0,0,,,,,,,"
1221,1221,We're going to photosynthesize.,1221.0,"1263,0,0,0,0,1,0,0,,,,,,,"
1222,1222,"Sunlight, water, air",1222.0,"1264,0,1,1,0,0,0,0,,,,,,,"
1223,1223,sunlight and water carbon dioxide,1223.0,"1265,0,0,0,0,0,0,0,,,,,,,"
1224,1224,"Sunlight, water, and air make photosynthesis. And you don't have to step on plants because you give people love",1224.0,"1266,1,1,0,1,0,0,0,,,,,,,"
1225,1225,"water, carbon dioxide and sunlight",1225.0,"1267,1,0,0,0,1,0,0,,,,,,,"
1226,1226,I'd love to.,1226.0,"1268,0,0,0,0,0,0,0,,,,,,,"
1227,1227,water carbon dioxide sunlight,1227.0,"1269,1,1,0,0,0,0,0,,,,,,,"
1228,1228,The sunlight,1228.0,"1270,0,0,0,0,0,0,0,,,,,,,"
1229,1229,need water,1229.0,"1271,1,1,0,0,0,0,0,,,,,,,"
1230,1230,Water and carbon dioxide,1230.0,"1272,1,1,1,0,0,0,0,,,,,,,"
1231,1231,Glucose,1231.0,"1273,1,1,1,1,0,0,0,,,,,,,"
1232,1232,"Light energy, carbon dioxide, water",1232.0,"1274,0,0,0,0,0,0,0,,,,,,,"
1233,1233,"Water, sunlight, carbon dioxide, etc. help plants make food",1233.0,"1275,0,0,0,0,1,0,0,,,,,,,"
1234,1234,We need water and carbon dioxide,1234.0,"1276,1,1,0,0,0,1,0,,,,,,,"
1235,1235,"There must be air, water, and sun essential to plants.",1235.0,"1277,1,0,0,0,0,0,0,,,,,,,"
1236,1236,"We need sunlight, carbon dioxide, and water, which are the energy of light.",1236.0,"1278,1,1,1,0,0,0,0,,,,,,,"
1237,1237,"We need sunlight, carbon dioxide and water.",1237.0,"1279,0,0,0,0,1,0,0,,,,,,,"
1238,1238,Photosynthesis,1238.0,"1280,0,1,0,0,0,0,0,,,,,,,"
1239,1239,"There must be elements necessary for photosynthesis, such as sunlight, air, and water",1239.0,"1281,0,0,0,0,0,0,0,,,,,,,"
1240,1240,"""",1240.0,"1282,1,1,1,0,0,0,0,,,,,,,"
1241,1241,"Light energy, carbon dioxide, and water are likely to be needed.""",1241.0,"1283,1,1,0,1,1,0,0,,,,,,,"
1242,1242,"Sunlight, water, air",1242.0,"1284,1,0,0,0,0,0,0,,,,,,,"
1243,1243,"We need water, air, sunlight, etc.",1243.0,"1285,0,1,0,0,0,0,0,,,,,,,"
1244,1244,I think plants need reactants to react.,1244.0,"1286,0,0,0,0,0,0,0,,,,,,,"
1245,1245,Plants use a pigment called chlorophyll to collect solar energy and use energy called photosynthesis.,1245.0,"1287,1,0,0,0,0,0,0,,,,,,,"
1246,1246,"Photosynthesis is done using sunlight, water, and carbon dioxide.",1246.0,"1288,1,0,0,0,0,0,0,,,,,,,1289,1,0,1,0,0,0,0,,,,,,,"
1247,1247,"""1. There must be hack, sunlight, and water.",1247.0,"1290,1,1,1,0,0,0,0,,,,,,,"
1248,1248,"2. It should be in the right place for plants to live.""",1248.0,"1291,1,0,0,0,0,0,0,,,,,,,"
1249,1249,Chloroplasts and Danso dioxide meet to make their own nutrients in the process of photosynthesis in the sun.,1249.0,"1292,1,0,0,0,0,0,0,,,,,,,"
1250,1250,Carbon dioxide is needed to get water and oxygen so that it doesn't dry up to make nutrients and grow.,1250.0,"1293,1,1,1,0,0,0,0,,,,,,,"
1251,1251,Sunlight,1251.0,"1294,0,0,0,0,0,0,0,,,,,,,"
1252,1252,Sunlight,1252.0,"1295,1,1,1,0,0,0,0,,,,,,,"
1253,1253,"Plants make nutrients through photosynthesis.Photosynthesis is the use of sunlight, water, and carbon dioxide in plant leaves to make their own nutrients Therefore, what plants need in the process of making their own nutrients is sunlight, water, and carbon dioxide.",1253.0,"1296,1,0,0,0,0,0,0,,,,,,,"
1254,1254,Glucose,1254.0,"1297,1,1,1,0,0,0,0,,,,,,,"
1255,1255,Photosynthesis,1255.0,"1298,1,0,0,0,0,0,0,,,,,,,"
1256,1256,"Sunlight, water, carbon dioxide",1256.0,"1299,1,1,1,0,0,0,0,,,,,,,"
1257,1257,"Sunlight, Water, Carbon Dioxide",1257.0,"1300,1,1,1,0,0,0,0,,,,,,,"
1258,1258,Photosynthesis,1258.0,"1301,1,1,1,0,0,0,0,,,,,,,"
1259,1259,..,1259.0,"1302,0,0,0,0,1,0,0,,,,,,,"
1260,1260,엉Yes,1260.0,"1303,1,0,0,0,0,0,0,,,,,,,"
1261,1261,water and sunlight,1261.0,"1304,1,0,0,0,0,0,0,,,,,,,"
1262,1262,Oxygen,1262.0,"1305,1,0,1,0,1,0,0,,,,,,,"
1263,1263,photoluminescence,1263.0,"1306,1,1,1,0,0,0,0,,,,,,,"
1264,1264,I don't know,1264.0,"1307,1,0,1,0,0,0,0,,,,,,,"
1265,1265,Oxygen Sunlight,1265.0,"1308,0,0,0,0,1,0,0,,,,,,,"
1266,1266,Photosynthesis in the sun.,1266.0,"1309,0,0,0,0,1,0,0,,,,,,,"
1267,1267,Protein,1267.0,"1310,1,1,1,0,0,0,0,,,,,,,"
1268,1268,I don't know,1268.0,"1311,0,0,0,0,0,0,0,,,,,,,"
1269,1269,I don't know.,1269.0,"1312,1,1,1,0,1,0,0,,,,,,,"
1270,1270,Sunlight,1270.0,"1313,0,0,0,0,0,0,0,,,,,,,"
1271,1271,Sunlight,1271.0,"1314,0,0,0,0,0,0,0,,,,,,,"
1272,1272,be exposed to sunlight,1272.0,"1315,1,1,1,0,0,0,0,,,,,,,"
1273,1273,Photosynthesis,1273.0,"1316,0,0,0,0,1,0,0,,,,,,,"
1274,1274,Glucose,1274.0,"1317,1,1,1,0,0,0,0,,,,,,,"
1275,1275,"We need carbon dioxide, water, and solar energy",1275.0,"1318,1,1,1,0,0,0,0,,,,,,,1319,1,1,1,0,0,0,0,,,,,,,"
1276,1276,"Light, water",1276.0,"1320,0,0,0,0,0,0,0,,,,,,,"
1277,1277,"Carbon dioxide, love, water, affection",1277.0,"1321,1,1,0,0,0,0,0,,,,,,,"
1278,1278,"We need sunlight, carbon dioxide, and water.",1278.0,"1322,1,1,0,0,0,0,0,,,,,,,"
1279,1279,I don't know.,1279.0,"1323,1,1,1,0,0,0,0,,,,,,,"
1280,1280,Sunlight,1280.0,"1324,1,1,0,0,0,0,0,,,,,,,"
1281,1281,Sunlight,1281.0,"1325,1,1,1,0,0,0,0,,,,,,,"
1282,1282,Water is absorbed from the roots and comes up through the stems and nutrients are made through photosynthesis in the leaves.,1282.0,"1326,0,0,0,0,0,0,0,,,,,,,"
1283,1283,It uses a pigment called chlorophyll to make a substance that is very important to sustain life with photochemical mineral water and carbon dioxideWe need sunlight and water.,1283.0,"1327,0,0,0,0,0,0,0,,,,,,,"
1284,1284,"Water, Sunlight, Love",1284.0,"1328,0,0,0,0,0,0,0,,,,,,,"
1285,1285,Unknowingness,1285.0,"1329,1,0,1,0,0,0,0,,,,,,,"
1286,1286,Unknowingness,1286.0,"1330,1,1,0,0,0,0,0,,,,,,,"
1287,1287,It's photosynthesis.,1287.0,"1331,,,,,,,,,,,,,,"
1288,1288,"Sunlight, water",1288.0,"1332,,,,,,,,,,,,,,"
1289,1289,"Water, I think I need sunlight.",1289.0,"1333,65.7%,55.5%,30.1%,7.8%,22.6%,3.5%,2.3%,,,,,,,"
1290,1290,"Sunlight, water",,
1291,1291,need photosynthesis,,
1292,1292,Collect solar energy and touch it with light and water,,
1293,1293,direct sunlight and carbon dioxide,,
1294,1294,"""When plants are exposed to sunlight, photosynthesis works.",,
1295,1295,Roots pull the nutrients from the ground.,,
1296,1296,The nutrients pulled from the roots go up to the stem and are fed to the cape and leaves.,,
1297,1297,"So in sunlight, it's made up of two kinds of nutrients in the ground.""",,
1298,1298,Water and carbon dioxide,,
1299,1299,"""When the sun rises, plants receive direct sunlight and cause photosynthesis (which also requires carbon dioxide), which is caused by a substance called chloroplasts in their leaves. It's carbon dioxide and sunlight, and it's photosynthesis",,
1300,1300,"When it's produced, there's a waste called oxygen, and when the sun goes down, it takes this waste called oxygen and an element called moonlight to produce nutrients again, which is carbon dioxide And when the next sun comes up, they photosynthesize again with the carbon dioxide they let out. """,,
1301,1301,Unknowingness,,
1302,1302,Just water it,,
1303,1303,"Sunlight, water",,
1304,1304,Photosynthesis,,
1305,1305,"Water, sunlight",,
1306,1306,Solar energy is collected and made into light and water.,,
1307,1307,It rises to the leaves through the stem in water absorbed from the roots and photosynthesis in the leaves.,,
1308,1308,water and sunlight,,
1309,1309,Unknowingness,,
1310,1310,Photosynthesis,,
1311,1311,"Air, water",,
1312,1312,I don't know,,
1313,1313,"I need something like black, water, sunlight",,
1314,1314,I photosynthesize under the sunlight,,
1315,1315,I don't know,,
1316,1316,"Water, sunlight, places to live,",,
1317,1317,I have no idea.,,
1318,1318,I need water and sunlight.,,
1319,1319,"Sunlight, water, air, etc. are needed for photosynthesis.",,
1320,1320,"Sunlight, water, soil, air, etc",,
1321,1321,Unknowingness,,
1322,1322,It is likely to produce nutrients through photosynthesis.,,
