,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
1220,1220,I'm tired,1220.0,"1262,0,0,0,"
1221,1221,M and D,1221.0,"1263,0,1,0,"
1222,1222,The air is gradually disappearing,1222.0,"1264,0,0,0,"
1223,1223,lack of oxygen,1223.0,"1265,0,0,0,"
1224,1224,This is because carbon dioxide increases.,1224.0,"1266,1,1,0,"
1225,1225,I don't know,1225.0,"1267,0,1,0,"
1226,1226,I don't know,1226.0,"1268,0,0,0,"
1227,1227,The amount of air is limited,1227.0,"1269,0,0,0,"
1228,1228,Because oxygen is gone and carbon dioxide is high.,1228.0,"1270,0,0,0,"
1229,1229,It's because we're running out of oxygen,1229.0,"1271,0,0,1,"
1230,1230,I don't know.,1230.0,"1272,1,1,0,"
1231,1231,lack of oxygen,1231.0,"1273,0,0,0,"
1232,1232,It's because oxygen disappears,1232.0,"1274,0,0,0,"
1233,1233,The amount of oxygen that humans need to breathe has dropped significantly.,1233.0,"1275,0,1,0,"
1234,1234,I ran out of air,1234.0,"1276,0,0,1,"
1235,1235,Give me a smoke,1235.0,"1277,0,0,1,"
1236,1236,I can't breathe because I drank all the oxygen.,1236.0,"1278,0,1,0,"
1237,1237,This is because air disappears and oxygen is scarce.,1237.0,"1279,0,0,1,"
1238,1238,I don't know.,1238.0,"1280,0,0,0,"
1239,1239,I don't know,1239.0,"1281,0,0,1,"
1240,1240,The air turns into carbon dioxide and cannot breathe.,1240.0,"1282,0,0,0,"
1241,1241,"How would I know? Do you know him? Is it personality trash who scores test questions without knowing it? Yes, I agree. In Seong is the uncle of the grading company~~~~~~~~~~~~~~~~~~~~~~^^~~~~~~~~~~~~~^^~~~~~!!!!!!!!!! You're mad!@@@@@@@@@@@@Have some snails",1241.0,"1283,0,0,1,"
1242,1242,This is because there is no oxygen.,1242.0,"1284,0,0,0,"
1243,1243,Blowing with your mouth without breathing through your nose,1243.0,"1285,0,0,0,"
1244,1244,Because it's hard to breathe if you do it many times,1244.0,"1286,0,0,0,"
1245,1245,I don't know,1245.0,"1287,1,0,0,"
1246,1246,This is because oxygen disappears.,1246.0,"1288,1,1,0,1289,1,0,0,"
1247,1247,The air in the bag disappeared,1247.0,"1290,0,0,0,"
1248,1248,This is because oxygen disappears.,1248.0,"1291,1,0,0,"
1249,1249,"We need oxygen when we breathe, because we breathe a few times in a plastic bag, so there is more carbon dioxide.",1249.0,"1292,1,1,0,"
1250,1250,Because the oxygen in the bag decreases,1250.0,"1293,1,1,0,"
1251,1251,Fish can breathe in the water. People need air,1251.0,"1294,1,1,0,"
1252,1252,It's because we're running out of oxygen,1252.0,"1295,1,0,0,"
1253,1253,It's because oxygen disappears.,1253.0,"1296,0,0,0,"
1254,1254,I don't know,1254.0,"1297,1,0,0,"
1255,1255,I don't know,1255.0,"1298,0,1,0,"
1256,1256,I don't know,1256.0,"1299,1,1,0,"
1257,1257,Paddle,1257.0,"1300,1,1,0,"
1258,1258,I don't know,1258.0,"1301,1,0,0,"
1259,1259,I don't know,1259.0,"1302,0,1,0,"
1260,1260,I can't breathe because the air turns into carbon dioxide,1260.0,"1303,0,1,0,"
1261,1261,I don't know,1261.0,"1304,1,0,0,"
1262,1262,I don't know,1262.0,"1305,1,1,0,"
1263,1263,I don't know,1263.0,"1306,1,1,0,"
1264,1264,I don't know,1264.0,"1307,0,1,0,"
1265,1265,It's because there's more carbon dioxide,1265.0,"1308,0,1,0,"
1266,1266,My lungs breathe differently,1266.0,"1309,0,1,0,"
1267,1267,I don't know,1267.0,"1310,1,1,0,"
1268,1268,"Because oxygen decreases, carbon dioxide increases",1268.0,"1311,1,0,0,"
1269,1269,"The lungs only breathe clean air and release carbon dioxide, so only carbon dioxide remains",1269.0,"1312,1,0,0,"
1270,1270,It's suffocating,1270.0,"1313,0,0,0,"
1271,1271,Breathe in,1271.0,"1314,0,1,0,"
1272,1272,I drink little by little and then drink a lot more. But there is a certain amount of air,1272.0,"1315,0,0,0,"
1273,1273,The air has shrunk,1273.0,"1316,1,1,0,"
1274,1274,"We drink oxygen, but we can't breathe because there's a lot of carbon dioxide.",1274.0,"1317,1,0,0,"
1275,1275,"Since I breathed air,",1275.0,"1318,1,0,0,1319,1,1,0,"
1276,1276,out of breath,1276.0,"1320,0,0,0,"
1277,1277,It's hard to breathe because there's a lot of carbon dioxide.,1277.0,"1321,1,1,0,"
1278,1278,The air inside is almost gone,1278.0,"1322,1,1,0,"
1279,1279,"Since the air in the bag is gradually disappearing,",1279.0,"1323,1,0,0,"
1280,1280,It's because there's only carbon dioxide left,1280.0,"1324,1,1,0,"
1281,1281,Because there's,1281.0,"1325,1,0,0,"
1282,1282,out of breath,1282.0,"1326,0,0,0,"
1283,1283,This is because the air is getting less and less.,1283.0,"1327,0,0,0,"
1284,1284,I'm tired,1284.0,"1328,0,0,0,"
1285,1285,"At first, there is air we need because if we continue to breathe, the air we need becomes less and less.",1285.0,"1329,1,1,0,"
1286,1286,for breathing all the whole timeI don't know.,1286.0,"1330,0,0,1,"
1287,1287,I don't have enough lung capacity,1287.0,"1331,,,,"
1288,1288,I'm not good at math,1288.0,"1332,,,,"
1289,1289,Because oxygen becomes carbon dioxide and oxygen becomes less,1289.0,"1333,45.7%,41.8%,11.0%,"
1290,1290,the loss of oxygen,,
1291,1291,The experimenter got sick,,
1292,1292,It's because the amount of oxygen has decreased,,
1293,1293,"It absorbs oxygen, only carbon dioxide remains",,
1294,1294,"As a result of breathing, carbon dioxide is produced, making oxygen breathing difficult.",,
1295,1295,The amount of carbon dioxide increases and the amount of oxygen decreases,,
1296,1296,It's because we ran out of oxygen,,
1297,1297,It's gone,,
1298,1298,Because I'm running out of oxygen,,
1299,1299,There's a lot of water vapor and carbon dioxide,,
1300,1300,This is because the amount of oxygen decreases and the amount of carbon dioxide increases.,,
1301,1301,This is because the amount of oxygen decreases and the amount of carbon dioxide increases,,
1302,1302,It's because the oxygen content has decreased,,
1303,1303,Becoming increasingly carbon dioxide making it difficult to breathe,,
1304,1304,The exhalation produces carbon dioxide.,,
1305,1305,It's because the oxygen in the bag is thinned,,
1306,1306,"Oxygen in the air component in the bag decreases, and carbon dioxide decreases, making it difficult to breathe because necessary oxygen is not obtained from the body.",,
1307,1307,This is because the amount of oxygen to inhale decreases by inhaling oxygen and exhaling carbon dioxide when exhaling.,,
1308,1308,It's carbon dioxide,,
1309,1309,I told you above that it creates carbon dioxide.,,
1310,1310,It's full of carbon dioxide,,
1311,1311,Because oxygen is gone and only carbon dioxide remains.,,
1312,1312,This is because the mole fraction of oxygen has decreased.,,
1313,1313,I don't have much oxygen,,
1314,1314,ㄴㅇ ㄴㅁ,,
1315,1315,When you breathe in air and breathe out carbon dioxide,,
1316,1316,I don't have enough lung capacity,,
1317,1317,Because we've run out of oxygen and we've got carbon dioxide left,,
1318,1318,It is because the amount of oxygen decreases,,
1319,1319,Because the amount of oxygen has decreased,,
1320,1320,"The first bag had oxygen, but it used to breathe and exhaled carbon dioxide.",,
1321,1321,I guess it's hard,,
1322,1322,This is because the amount of oxygen has decreased and the amount of carbon dioxide has increased.,,
1323,1323,This is because the amount of oxygen decreases and the amount of carbon dioxide increases.,,
1324,1324,"This is because the oxygen ratio in the air decreases, resulting in a lack of oxygen required for breathing.",,
1325,1325,"You need oxygen, but the amount of carbon dioxide in the bag increases",,
1326,1326,"The amount of oxygen in the bag has decreased, making it difficult to breathe.",,
1327,1327,ㅉㅉ,,
1328,1328,Breathing stability,,
1329,1329,shortness of breath,,
1330,1330,This is because the amount of oxygen decreased and the amount of carbon dioxide increased because it breathed in oxygen and emitted a small amounts of oxygen and carbon dioxide.,,
1331,1331,"Repeating breathing reduces the air in the plastic bag, making it difficult to breathe.",,
1332,1332,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
