,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
845,845,"* Process: Ko Yeon-mu led the revival army to fight the Tang army, and Geomojama established Anseung as king and started the revival movement.",845.0,"874,1,0,0,0,0,,,,,"
846,846,* Result: Failed due to internal dispute,846.0,"875,1,0,0,1,0,,,,,"
847,847,* Impact: Daejoyeong founded Balhae.,847.0,"876,1,0,1,0,0,,,,,"
848,848,,848.0,"877,1,0,0,0,0,,,,,"
849,849,"Wait, a quiz",849.0,"878,0,0,0,0,0,,,,,"
850,850,,850.0,"879,0,0,0,0,0,,,,,"
851,851,Which word is appropriate for A in the process of reunification of the three kingdoms of Silla?,851.0,"880,1,1,0,0,0,,,,,"
852,852,,852.0,"881,1,0,1,0,0,,,,,"
853,853,,853.0,"882,1,1,0,0,0,,,,,"
854,854,,854.0,"883,1,0,0,0,0,,,,,"
855,855,,855.0,"884,0,0,0,0,0,,,,,"
856,856,,856.0,"885,0,0,0,0,0,,,,,"
857,857,Image 5 of Silla's Three Kingdoms Unification Body,857.0,"886,0,0,0,0,0,,,,,"
858,858,,858.0,"887,1,0,1,0,0,,,,,"
859,859,,859.0,"888,0,0,0,0,0,,,,,"
860,860,1. Fall of Pyongyang Castle,860.0,"889,1,1,1,0,0,,,,,"
861,861,2. Battle of Hwangsanbeol,861.0,"890,1,1,0,0,0,,,,,"
862,862,3. Fall of Sabiseong Fortress,862.0,"891,0,0,0,0,0,,,,,"
863,863,4. Silla-Party War,863.0,"892,0,1,1,0,0,,,,,"
864,864,5. Union of Silla and the Party,864.0,"893,1,0,0,0,1,,,,,"
865,865,,865.0,"894,0,0,0,0,0,,,,,"
866,866,,866.0,"895,1,0,0,0,1,,,,,"
867,867,View answers and commentary,867.0,"896,1,0,0,0,0,,,,,"
868,868,,868.0,"897,0,0,0,0,0,,,,,"
869,869,"Silla's Unification of the Three Kingdoms (Genius Learning Encyclopedia 5-2 in Elementary School, Genius Education)",869.0,"898,1,0,0,0,1,,,,,899,0,0,0,0,0,,,,,"
870,870,"""",870.0,"900,1,0,0,0,0,,,,,"
871,871,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",871.0,"901,,,,,,,,,,"
872,872,"""The process of Silla's unification",872.0,"902,,,,,,,,,,"
873,873,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.""",873.0,"903,46.1%,21.4%,17.2%,5.2%,2.3%,,,,,"
874,874,Silla's alliance with the Tang Dynasty destroyed Baekje and Goguryeo in the order of Baekje and Goguryeo.,,
875,875,Silla destroyed Baekje in 660,,
876,876,"He destroyed Goguryeo in 668 """,,
877,877,"Silla's ""Three Kingdoms Unification"" refers to Silla's alliance with the Tang Dynasty (Nadang Alliance), the overthrow of Baekje and Goguryeo in turn, and then ousted Tang troops to the north of the Daedong River (Nadang War) in 676. Although foreign powers were ousted due to the Nadang War, there is a limit in that they did not advance to the northern part of the Korean Peninsula and Manchuria, which were the northern part of the former Goguryeo territory, and thus did not achieve complete reunification of the three countries in terms of territory and population.",,
878,878,,,
879,879,"After a 30-year hiatus, Balhae (698-926) was built in the old Goguryeo territory of Manchuria, which was not occupied by Silla. The period when Silla and Balhae coexisted is called the period of the North-South Korean Empire. For this reason, the first unified country of the Korean people is Goryeo, not Silla, and Silla's ""Unification of the Three Kingdoms"" is a wrong expression, and some argue that it should be renamed as Silla's ""Dismantle of the Three Kingdoms,"" ""Unification of the Korean Peninsula,"" or ""Dismantle of the Three Kingdoms."" However, it is difficult to see the two cases differently based on the incompleteness of the northern territories of Goryeo, as well as the former Goguryeo and Balhae territories and populations did not integrate much like Silla.",,
880,880,,,
881,881,"Silla's integration into the southern part of the Korean Peninsula is definitely a limit in terms of territory in that it has lost much of Goguryeo's territory. In addition, there was an identity of a national state within the Korean Peninsula, which is reasonable to regard as Goryeo or the identity of a national state within the Korean Peninsula as arising from the process of starting from Goryeo to Joseon.""",,
882,882,"Kim Chun-chu moved to Tang and took his son, Beop-min (later King Munmu), as a hostage to form the Nadang Alliance",,
883,883,"In 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin-do-bu, Andong-do-bu, and Gyerim-do-bu in Silla, and expressed its ambition to effectively rule the Korean Peninsula",,
884,884,"In the process, the Nadang War broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms",,
885,885,"""",,
886,886,Silla allied with the Tang Dynasty and attacked Baekje and Goguryeo and destroyed them.,,
887,887,"When the party set up Dohobu in Goguryeo, Baekje, and Silla, respectively, and revealed its intention to directly dominate the Korean Peninsula, Silla was able to lay the foundation for the formation of the Korean people by fighting to oust the party along with Goguryeo and Baekje's Confucian scholars.",,
888,888,Both Goguryeo and Baekje were doomed because Silla attacked in alliance with the Tang Dynasty,,
889,889,"""The Fall of Gaya""",,
890,890,"Silla destroyed Geumgwan Gaya, the center of the Gaya Confederation, in 532the fall of Baekje",,
891,891,,,
892,892,"Accordingly, Kim Chun-chu carried out an adventure diplomacy to ask Goguryeo for soldiers, but Goguryeo demanded the return of the Han River basin in exchange for its dispatch, so it failed to achieve results. Afterwards, Silla formed an alliance with the Tang Dynasty to conquer Baekje, followed by a strategy to attack Goguryeo. In this way, King Gojong made Sojeongbang to play Baekje. Silla had Kim Yu-shin and others vacuum Baekje, so the Tang army landed on the left bank of the Baekgang River, and Silla army crossed Tanhyeon (east of Daejeon).",,
893,893,,,
894,894,"At that time, King Uija was arrogant and immersed in pleasure due to repeated victories, and the royal court was busy promoting self-interest, and loyalists such as Seongchung and Heungsu were ousted. The people were tired of repeated wars and were separated from the government, and Baekje was on the verge of survival. In the Battle of Hwangsanbeol, Gyebaek tried to support the national fortune with the death of 5,000 people, but was defeated, and eventually King Uija surrendered to Silla and Baekje was destroyed in 660.",,
895,895,,,
896,896,"After the fall of Baekje, a revival movement of Baekje's Yushin took place in various places. The royal Boksin and monk Dochim lived in Jujuseong Fortress, and the Black Chisangji and others lived in Imjonseong Fortress, causing the military to recover 200 fortresses. They faced the princely wind from Japan, and they surrounded and attacked Sabiseong Fortress and Ungjinseong Fortress, putting the Tang army in crisis. However, the mainstream fell due to the re-aggression of the Na-Party coalition and the internal division of the Buheung army, and the Buheung army continued to be defeated, ending the four-year Baekje revival movement.",,
897,897,,,
898,898,The Tang Dynasty established Woongjin Dodokbu in the territory of the former Baekje Kingdom.,,
899,899,,,
900,900,the fall of Goguryeo,,
901,901,"King Taejong Muyeol of Silla, who destroyed Baekje, joined forces with the Tang Dynasty to attack Goguryeo. .""",,
902,902,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle in Danggwan, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united to unify the three kingdoms",,
903,903,"He joined hands with the Tang Dynasty topple Baekje. After that, the courage of the government led to the collapse of Goguryeo, and after that, the Tang Dynasty, which was trying to devour the Korean Peninsula, was overthrown and the three kingdoms were unified",,
904,904,"He joined hands with the Tang Dynasty to overthrow Baekje After that, Goguryeo was destroyed thanks to the courage of Gwanchang The Tang Dynasty, which was about to take over the Korean Peninsula, was ousted and the three countries unified",,
905,905,"He fought with Baekje, ate the Han River, and captured Goguryeo",,
906,906,→ Silla's attack by Baekje's King Uija → Silla sent Kim Chun-chu to Goguryeo to ask for help → Kim Chun-chu asked for help from the party 나 Na-dang alliance (648),,
907,907,"Silla and the Tang Dynasty joined hands to destroy Baekje and Goguryeo (660), 668",,
908,908,"Silla and Tang Dynasty tried to have Baekje for Silla, and Tang Dynasty for Goguryeo for Tang Dynasty, but Tang Dynasty wanted to occupy the Korean Peninsula, so they went to war with Silla. Silla then ousts the Tang Dynasty with the help of Goguryeo and Baekje's people. During the reign of King Munmu, a unified Silla was established that unified Goguryeo, Baekje, and Silla.""",,
909,909,Baekje was destroyed by the fall of Sabiseong Fortress by the allied forces of Silla and Tang Dynasty,,
910,910,"After the three countries reorganized the ancient state system, they promoted external development based on this, which turned out to be an uprising of the three countries. The Three Kingdoms War began in the late 4th century when King Geunchogo of Baekje began to advance north",,
911,911,"""1) The Fall of Baekje (660)",,
912,912,① Attack of Silla and the Party,,
913,913,"The Silla-Party coalition first attacked Baekje, and Baekje was not ready to stop the Silla-Party coalition due to political turmoil.",,
914,914,,,
915,915,② Battle of Hwangsanbeol,,
916,916,"Baekje's Gyebaek fought with about 50,000 soldiers led by Silla's Kim Yu-shin with 5,000 soldiers, and Silla initially suffered from strong resistance from Baekje, but won thanks to the activities of galleries.",,
917,917,,,
918,918,③ the fall of the Sabbath,,
919,919,"The capital, Sabi (Buju), was taken away and destroyed by Silla and the allied forces of the Party.",,
920,920,,,
921,921,2)The Fall of Goguryeo (668),,
922,922,,,
923,923,① the situation at the time,,
924,924,"After the fall of Baekje, Silla and the Party's allied forces attacked Goguryeo, but Goguryeo was well prevented, but Goguryeo was weakened by the continuous war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",,
925,925,,,
926,926,② the fall of Pyongyang,,
927,927,"The Silla-Party coalition attacked Pyongyang Castle again, and Goguryeo was destroyed.",,
928,928,,,
929,929,3) Silla-Party War,,
930,930,,,
931,931,① Background,,
932,932,"After Baekje and Goguryeo fell, the party tried to dominate the entire Korean Peninsula.",,
933,933,② Course,,
934,934,Silla fought a war with the people of Baekje and Goguryeo to drive out the party.,,
935,935,③ The result,,
936,936,"The party dispatched large-scale troops to attack, but Silla persistently fought against the party and won victories in Maesoseong and Gibeolpo.",,
937,937,,,
938,938,4) Completion of the Unification of the Three Kingdoms (676),,
939,939,① the unification of the three kingdoms,,
940,940,King Munmu ousted the Party's army and achieved the unification of the three kingdoms.,,
941,941,② significance,,
942,942,"The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",,
943,943,③ Limit:,,
944,944,It united with the Party and lost most of Goguryeo's land north of the Daedong River.,,
945,945,,,
946,946,,,
947,947,,,
948,948,,,
949,949,"""",,
950,950,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",,
951,951,"When King Uija of Baekje attacked Silla, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked the party for help and formed an alliance.",,
952,952,"When Silla attacked Baekje's King Uija, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked for help from the party, and the Na+Party formed an alliance.",,
953,953,"Silla suffered from Baekje's strong resistance, but won thanks to the performance of the Hwaryang",,
954,954,allied with Tang and destroyed Baekje and Goguryeo,,
955,955,"In its heyday, it occupied the Han River and became unified",,
956,956,in concert with the Tang Dynasty,,
957,957,Goguryeo and Silla helped Baekje,,
958,958,We won all the wars and unified them,,
959,959,Holding hands,,
960,960,Silla defeated Goguryeo and Baekje in its heyday,,
961,961,Destruction of Baekje to Goguryeo like China,,
962,962,Asking China for help.,,
963,963,King Munmu unified,,
964,964,Silla will not be able to unify with Goguryeo,,
965,965,I will kill you with the help of Tang,,
966,966,"He joined hands with the Tang Dynasty to destroy Goguryeo, followed by the collapse of Baekje, and fought with the Tang Dynasty to win",,
967,967,I want to ask China for help,,
968,968,"He joined hands with the Tang Dynasty to destroy Goguryeo, destroyed Baekje, and unified the Three Kingdoms.",,
969,969,Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify them,,
970,970,"By forming an alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed.",,
971,971,"After taking over the Han River in cooperation with Baekje, he betrayed Baekje and joined hands with the party. After that, they used the power of the party to unify, betraying the party, and achieving unification.",,
972,972,"If you fight hard, you win",,
973,973,"Silla allied with Tang, destroying Baekje and Goguryeo, and unifying the three kingdoms",,
974,974,"During the war, Goguryeo was so strong that it merged with Baekje.",,
975,975,"They united with the Tang Dynasty and destroyed Baekje, Goguryeo.",,
976,976,The war unified the three countries,,
977,977,Silla and Tang allied to form Baekje and unified Goguryeo,,
978,978,Destroy Baekje and destroy Goguryeo,,
979,979,King Munmu was well unified.,,
980,980,It's because my country is ruined and I feel like I'm dead,,
981,981,Baekjae fell first and Goguryeo fell.,,
982,982,with the help of foreign powers,,
983,983,"Baekje and Goguryeo collapsed, and Silla unified the three kingdoms",,
984,984,"Silla last occupied the Han River and attacked Goguryeo when internal heat broke out inside Goguryeo, and when Baekje became evil, it unified the three kingdoms.",,
985,985,The coalition of the ruling parties united all together.,,
986,986,It was unified by the power of the Tang Dynasty.,,
987,987,the unification of the three kingdoms in union with the Tang Dynasty,,
988,988,"Silla formed the Nadang Federation and unified the three kingdoms after destroying Baekje and Goguryeo one after another.Silla formed a league of the Tang Dynasty and Nadang, then destroyed Baekje first and then Goguryeo.",,
989,989,Goguryeo and Baekje were conquered in order.,,
990,990,The Tang Dynasty and the Nadang Alliance were formed to destroy Goguryeo and Baekje.,,
991,991,"After joining forces with the Party to destroy Baekje, Goguryeo was destroyed. Later, the Nadang War broke out.",,
992,992,Silla united with Tang and unified the three kingdoms,,
993,993,They united the three kingdoms in union with the Tang Dynasty.,,
994,994,Silla unified it using the power of a foreign power called the Tang Dynasty,,
995,995,"With the help of the Tang Dynasty, Baekje and Goguryeo were destroyed in order, and the three kingdoms were unified after the Nadang War.",,
996,996,"With the help of the Tang Dynasty, Baekje was defeated, Goguryeo was defeated, and Unified Silla was established through the Nadang War.",,
997,997,winning the war,,
998,998,I don't know,,
999,999,Silla captured Baekje and united with Tang to capture Goguryeo,,
1000,1000,Unification by force of the Tang Dynasty,,
1001,1001,Silla ate Baekje,,
1002,1002,"First, Silla ate the Han River. And we beat Baekje and Goguryeo by becoming a team.",,
1003,1003,"""(It's too long, so I'll abbreviate it.)",,
1004,1004,"Silla was geographically and diplomatically less developed than Baekje and Goguryeo. So, after being invaded by King Jinheung in the 6th century, he took away Danghangseong, which was strong and could trade with China, and established an alliance with China to honor Baekje, destroy Goguryeo, and win the Nadang War to achieve unification.""",,
1005,1005,They united under the Tang Dynasty.,,
1006,1006,"Baekje and Goguryeo were falling apart, and Silla was in its heyday, allowing Silla to unify the three kingdoms.",,
1007,1007,I don't know.,,
1008,1008,It was occupied by Baekje and Goguryeo in the order of the Nadang alliance,,
1009,1009,"Silla established a Nadang alliance and destroyed Baekje, which had already lost much national power, and then struck Goguryeo to fame. After that, the party's Ssangseong General Office was pushed out and the area downstream of the Yalu River was established, resulting in the unification of the three kingdoms.",,
1010,1010,Long live Queen Seondeok,,
1011,1011,I don't know.,,
1012,1012,.,,
1013,1013,I don't understand.,,
1014,1014,I don't know.,,
1015,1015,"Using the power of China, they unified it by force.",,
1016,1016,This is because I became close to China by interacting with it.,,
1017,1017,Silla unified the three kingdoms with the help of other countries.,,
1018,1018,"Feeling threatened by Baekje, Silla joined forces with the Tang Dynasty to attack and destroy Baekje, and then Goguryeo also attacked it. Goguryeo tried to stop it, but was defeated by a traitor who opened the door, and Silla unified the three kingdoms to have land in the south.",,
1019,1019,The country that occupies the Han River has an advantage for everything,,
1020,1020,I don't know.,,
1021,1021,"Goguryeo was attacked and ruled, and then Baekje was defeated and the Tang Dynasty was defeated to unify it.",,
1022,1022,the occupation of the other country by war,,
1023,1023,"In alliance with the Party, Baekje and Goguryeo were destroyed.",,
1024,1024,"Although it was the first reunification, it was united with China to destroy Baekje and Goguryeo",,
1025,1025,I broke it all,,
1026,1026,"By joining forces with China to give part of the land, they beat Goguryeo and Baekje and reunified the three kingdoms.",,
1027,1027,They fought a war and won the war.,,
1028,1028,Silla occupied Baekje first and then went up to the north to occupy Goguryeo and unify the three kingdoms.,,
1029,1029,"After Silla invaded Bexse, Goguryeo also invaded",,
1030,1030,I'm going to drive you,,
1031,1031,Strengthening national power after taking over the Han River basin during the reign of King Jinheung.,,
1032,1032,King of Baekje died in the Battle of Gwansanseong Fortress,,
1033,1033,Suu Kyi's invasion of Goguryeo -> weakening of Goguryeo's national power,,
1034,1034,Kim Chun-chu's Negotiations -> Forming a Alliance of the Ruling Parties,,
1035,1035,Silla destroyed Baekje through land and Tang through waterways.,,
1036,1036,"After the fall of Baekje, the fall of Goguryeo by pressing up and down",,
1037,1037,"By preventing the Tang Dynasty's ambition to occupy the Korean Peninsula and achieving the unification of the Three Kingdoms.""",,
1038,1038,"They united with the Tang Dynasty to destroy Baekje and Goguryeo, and later defeated the Tang Dynasty to unify the southern part of the Korean Peninsula.",,
1039,1039,Silla unified other countries,,
1040,1040,I don't know.,,
1041,1041,Silla won by drawing in other countries.,,
1042,1042,"Silla defeated King Uija of Baekje and destroyed Baekje, and won the war against Goguryeo's Yeongaesomun through a coalition with the Tang Dynasty.",,
1043,1043,"Goguryeo Yeongaesomun died, Baekje collapsed, Silla formed an alliance with Tang and Nadang to unify somehow",,
1044,1044,unification in union with the Tang Dynasty,,
1045,1045,"Baekje, Goguryeo, and Silla",,
1046,1046,"Baekje, Goguryeo, and Silla",,
1047,1047,You must have fought a lot of wars and unified them,,
1048,1048,Silla united with Tang to destroy Goguryeo and Baekje,,
1049,1049,d,,
1050,1050,Silla sided with China and defeated Goguryeo and Baekje,,
1051,1051,"United with the Tang Dynasty. With the help of the Tang Dynasty, reunification",,
1052,1052,The Nadang Alliance was formed topple Baekje and topple Goguryeo.,,
1053,1053,Silla and Tang combined topple Goguryeo and Baekje.,,
1054,1054,I won the fight,,
1055,1055,It united with the Tang Dynasty to destroy Baekje and Goguryeo.,,
1056,1056,"""Silla failed to form an alliance with Goguryeo, and Baekje was on the verge of collapse with the capture of the main castles of Daeya and Goguryeo. So, what Kim Chun-chu chose is the price of abandoning self-reliance in the name of preserving the country. So, he entered the Tang Sinha costume and planned a coalition, claiming to be a subordinate state of the Party, and the terms were to divide the Baekje-Goguryo-Land. From Silla's point of view, the goal was to occupy the Honam Plain and the Han River basin, and the Tang Dynasty was mainly to seek revenge on Goguryeo and absorb the Korean Peninsula from King Gwanggaeto. To be honest, the reason why China still hates Korea is that Tibet and Uighur absorb into China, but I don't like the fact that only the Korean Peninsula is not absorbed at the end of the continent and that a small country maintains its independence as a country. Silla eventually defended the Korean Peninsula with the Battle of Maesoseong and said it was unification, but in fact, it is a half-digit unification, and people say that it is not the unification of the Three Kingdoms, but ""Baekje Occupation and Goguryeo Partial Occupation>. Since then, Balhae has been built by Daejoyeong, and the Manchurian Plain has become the owner of the Korean people again, but it is different from Goguryeo. Goguryeo was mainly operated around Pyongyang, Daedong River, and Joha castles, but Balhae was operated around Baekdusan Mountain. At that time, Pyongyang was a border area with Silla, so it avoided military conflict, and focused more on the border area of China, and naturally, it was not managed, so it was devastated.",,
1057,1057,,,
1058,1058,"After all, Silla is nominally unified, but the actual control is the half-unification of the Daedong River, which now occupies only the southern part of the country, the present part of the South. For 30 years before Balhae was established, the Manchurian was absorbed under the control of the Tang Dynasty.",,
1059,1059,,,
1060,1060,"Kim Chun-chu's diplomacy to save Silla is beneficial to one country in Silla, but in the history of the Korean people, more than 70% of the territory has been devoted to the Tang Dynasty.""",,
1061,1061,The winners were united by a good fight.,,
1062,1062,Other countries have been mucked up by the coalition of parties.,,
1063,1063,the formation of a coalition of Nazi allies to invade another country,,
1064,1064,"Silla asked the Tang Dynasty for support, formed the Nadang Alliance, conquered Baekje, conquered Goguryeo, ousted the Tang Dynasty, and established a unified Silla",,
1065,1065,Silla unified the three countries with the help of foreign powers.,,
1066,1066,"King Seongdeok brought in the Tang Dynasty and formed a coalition of the Nadang Dynasty, destroyed Baekje, and destroyed Goguryeo. However, the Tang Dynasty suddenly asked for half of the Korean Peninsula, so Silla and the Tang Dynasty fought and defeated the Tang Dynasty.",,
1067,1067,"First, a coalition of Nadang was formed topple Baekje first, and then Goguryeo was disposed of.",,
1068,1068,Silla and Tang combined to defeat Goguryeo.,,
1069,1069,"Silla allied with the Tang Dynasty, destroyed Baekje and Goguryeo, and later went to war with the Tang Dynasty, losing most of Goguryeo's land and unifying the three kingdoms.",,
1070,1070,"After the formation of the Nadang Alliance, Baekje and Goguryeo were destroyed in turn.",,
1071,1071,It united with the Tang Dynasty to occupy the Han River basin and toppled Baekje and Goguryeo.,,
1072,1072,It united with the Party to destroy Goguryeo and oust the Party to unify the three kingdoms.,,
1073,1073,"After the first Baekje integration, it formed a coalition with the Party to unify Goguryeo.",,
1074,1074,.,,
1075,1075,.,,
1076,1076,"In alliance with the Tang Dynasty, Goguryeo was destroyed and Baekje was defeated to unify.",,
1077,1077,"The Tang Dynasty formed a Nadang alliance, first destroyed Baekje in 660 and Goguryeo in 668, followed by the Nadang War in 675, and the incomplete reunification of the three kingdoms of the Korean Peninsula in 676.",,
1078,1078,"Through the Nadang Coalition, Baekje was conquered, Goguryeo was invaded, and the three kingdoms were unified.",,
1079,1079,The three countries were unified by the Nathang Alliance.,,
1080,1080,I don't know.,,
1081,1081,"Baekje fell, Goguryeo fell, and Silla unified the three kingdoms",,
1082,1082,"After the fall of Baekje and the fall of Goguryeo, Silla unified the three kingdoms.",,
1083,1083,"Silla united with the Tang Dynasty, fought Baekje and Goguryeo, and drove the Tang Dynasty out of Korea through the Nadang War to achieve the unification of the Three Kingdoms.",,
1084,1084,I don't know,,
1085,1085,"Silla, which joined forces with the Tang Dynasty, destroyed Baekje, followed by Goguryeo, and finally won the war against the Tang Dynasty to unify the three kingdoms.",,
1086,1086,"Silla surrendered Goguryeo, Baekje, and so on through the Nadang League, resulting in a slightly narrower land.",,
1087,1087,"I don't knowBaekje was absorbed into Silla during the war between Silla and Baekje, and Goguryeo was absorbed into Silla and Tang Dynasty due to the Nadang War",,
1088,1088,"Silla was the weakest of the three kingdoms. So we always fought wars with the help of other countries. When his mother invaded, he borrowed the power of Goguryeo and also borrowed the power of Baekje to counter Goguryeo. Eventually, they defeated Baekje and used the power of the Tang Dynasty to destroy Goguryeo, achieving the unification of the Three Kingdoms.",,
1089,1089,Silla unified the three countries in the order of Baekje and Goguryeo.,,
1090,1090,"Silla's heyday was the last of the three kingdoms. When Goguryeo planned to go south, it continued to form a naje alliance, but when Goguryeo was attacked by China, it violated it and conquered Baekje. After that, he took advantage of China's continued attacks on Goguryeo and formed a Nadang alliance to conquer Goguryeo. However, it is not so good considering that it is a reunification that borrowed foreign power.",,
1091,1091,Silla unified the three kingdoms with the help of the Tang Dynasty.,,
1092,1092,I don't know,,
1093,1093,"In the early 4th century, Silla was the weakest of the three kingdoms. As Goguryeo moved south in the 5th century, the territory of Baekje and Silla became dangerous, and Baekje Silla formed a naje alliance against Goguryeo. After that, Silla broke the Naje alliance and conquered Goguryeo and Gaya in the southernmost part of Baekje with the help of the Tang Dynasty and achieved the unification of the three kingdoms.",,
1094,1094,I don't know.,,
1095,1095,The Tang Dynasty unified the country for help,,
1096,1096,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
